,lat,lon,ref,name,description,gbfs:name,gbfs:station_id,capacity,amenity,brand,brand:ja,brand:wikidata,brand:website,gbfs:system_id,authentication:app,fee,lat_label,lon_label
700,37.91593,139.05771,25,ガルベストン通り,,25.ガルベストン通り,958,8,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
701,37.92296,139.04489,26,NSGスクエア,,26.NSGスクエア,959,18,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
702,37.9126,139.0531,29,NTTdocomo新潟ビル,,29.NTTdocomo新潟ビル,961,10,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
703,35.578728,139.735238,K1-130,COCOONひろば平和島,,K1-130.COCOONひろば平和島,962,19,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,1,2
704,35.184524,137.060998,197,長久手温泉ござらっせ,,197.長久手温泉ござらっせ,964,6,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,1,1
705,35.172204,137.049516,198,イオンモール長久手,,198.イオンモール長久手,965,10,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,1,1
706,35.182519,137.021782,200,藤が丘effe,,200.藤が丘effe,967,6,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,1,1
707,35.162018,136.947779,196,丸山町第4駐車場,,196.丸山町第4駐車場,968,5,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,0,1
708,35.137905,136.908242,193,イオンモール熱田（北側）,,193.イオンモール熱田（北側）,969,4,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,0,1
709,35.136126,136.908619,194,イオンモール熱田（南側）,,194.イオンモール熱田（南側）,971,4,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,0,1
710,35.62413,139.744831,C5-47,oak港南品川,,C5-47.oak港南品川,972,24,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,1,2
711,35.711324,139.711976,D3-15,カースルいずみ,,D3-15.カースルいずみ,973,14,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,2
712,35.710323,139.815215,G2-03,押上１丁目２６-４,,G2-03.押上１丁目２６-４,974,4,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,2
713,35.15752,136.909958,201,第三ミヤチビルディング,,201.第三ミヤチビルディング,975,5,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,0,1
714,35.587232,139.669519,K1-132,多摩川駅前自転車等駐車場,,K1-132.多摩川駅前自転車等駐車場,977,15,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,1,1
715,35.567146,139.693344,K1-131,東急武蔵新田駅駐輪場,,K1-131.東急武蔵新田駅駐輪場,978,15,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,1,1
716,35.165757,136.911449,195,ＡＢホテル名古屋栄,,195.ＡＢホテル名古屋栄,979,4,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,0,1
717,35.166262,136.955524,202,グレイス覚王山,,202.グレイス覚王山,980,3,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,0,1
718,35.198114,136.926809,203,メゾン名北,,203.メゾン名北,981,3,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,1,1
719,38.2583,140.91312,125,ファミリーマート仙台萩野町四丁目店,,125.ファミリーマート仙台萩野町四丁目店,982,8,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,2
720,38.25517,140.91778,126,ファミリーマート宮千代三丁目店,,126.ファミリーマート宮千代三丁目店,983,9,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,2
721,34.666552,135.488247,E-10,ローソン桜川二丁目店,,E-10.ローソン桜川二丁目店,985,5,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,0,0
722,34.668586,135.508349,B-29,ローソン道頓堀一丁目店,,B-29.ローソン道頓堀一丁目店,986,5,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,0,0
723,34.66115,135.497665,E-32,WELL STAY難波,,E-32.WELL STAY難波,987,3,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,0,0
724,34.630892,135.496938,I-07,岸里東2-11-14,,I-07.岸里東2-11-14,988,4,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,0,0
